baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.3,0.29,0.31,0.31,0.29
0.28,0.27,0.29,0.29,0.29
0.28,0.27,0.29,0.28,0.29
0.28,0.27,0.29,0.28,0.29
0.28,0.27,0.29,0.28,0.27
0.28,0.27,0.29,0.29,0.29
0.26,0.25,0.27,0.26,0.27
0.28,0.27,0.29,0.28,0.27
0.3,0.29,0.31,0.3,0.29
0.3,0.29,0.31,0.3,0.29
0.28,0.27,0.29,0.28,0.29
0.28,0.27,0.29,0.28,0.27
0.3,0.29,0.3,0.3,0.29
0.32,0.31,0.33,0.32,0.31
0.3,0.29,0.31,0.3,0.31
0.28,0.27,0.29,0.28,0.29
0.28,0.27,0.29,0.28,0.27
0.28,0.27,0.29,0.28,0.27
0.28,0.27,0.28,0.28,0.27
0.3,0.29,0.31,0.3,0.29
0.3,0.29,0.3,0.3,0.29
0.3,0.29,0.31,0.3,0.29
0.3,0.29,0.31,0.3,0.29
0.3,0.29,0.31,0.3,0.29
0.32,0.31,0.33,0.32,0.31
0.3,0.29,0.31,0.3,0.31
0.28,0.27,0.29,0.28,0.29
0.28,0.27,0.29,0.28,0.27
0.28,0.27,0.29,0.28,0.27
0.28,0.27,0.28,0.28,0.27
0.28,0.27,0.28,0.28,0.27
0.3,0.29,0.3,0.3,0.29
0.3,0.29,0.3,0.3,0.29
0.28,0.27,0.28,0.28,0.29
0.26,0.25,0.27,0.26,0.27
0.26,0.25,0.26,0.26,0.25
0.24,0.23,0.23,0.24,0.25
0.26,0.25,0.26,0.26,0.25
0.24,0.23,0.24,0.24,0.25
0.24,0.23,0.23,0.24,0.24
0.24,0.23,0.23,0.24,0.24
0.24,0.23,0.24,0.24,0.24
0.24,0.23,0.24,0.24,0.24
0.24,0.23,0.24,0.24,0.24
0.24,0.23,0.23,0.24,0.24
0.26,0.25,0.25,0.26,0.25
0.26,0.25,0.25,0.26,0.25
0.28,0.27,0.27,0.28,0.27
0.28,0.27,0.27,0.28,0.27
0.28,0.27,0.27,0.28,0.27
0.28,0.27,0.27,0.28,0.29
0.28,0.27,0.27,0.28,0.27
0.28,0.27,0.27,0.28,0.29
0.26,0.25,0.25,0.26,0.27
0.26,0.25,0.25,0.26,0.25
0.24,0.23,0.23,0.24,0.25
0.24,0.23,0.23,0.24,0.24
0.22,0.21,0.21,0.22,0.24
0.2,0.19,0.19,0.19,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.24
0.2,0.19,0.19,0.2,0.22
0.2,0.19,0.19,0.2,0.2
0.2,0.19,0.19,0.2,0.2
0.2,0.19,0.19,0.2,0.2
0.22,0.21,0.2,0.21,0.22
0.24,0.23,0.22,0.23,0.24
0.22,0.21,0.2,0.21,0.24
0.22,0.21,0.2,0.21,0.22
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.22,0.21,0.2,0.21,0.24
0.22,0.21,0.2,0.21,0.22
0.22,0.21,0.2,0.21,0.22
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.25
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.21,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.24,0.23,0.22,0.23,0.24
0.22,0.21,0.2,0.21,0.24
0.22,0.21,0.2,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.22,0.21,0.21,0.21,0.22
0.24,0.23,0.23,0.23,0.24
0.24,0.23,0.23,0.23,0.24
0.22,0.21,0.21,0.2,0.24
0.22,0.21,0.21,0.2,0.22
0.22,0.21,0.21,0.2,0.24
0.24,0.23,0.23,0.23,0.24
0.26,0.25,0.25,0.24,0.25
0.26,0.25,0.25,0.25,0.27
0.26,0.25,0.25,0.25,0.25
0.24,0.23,0.23,0.23,0.25
0.24,0.23,0.23,0.23,0.24
0.24,0.23,0.23,0.23,0.24
0.24,0.23,0.23,0.23,0.24
0.26,0.25,0.25,0.24,0.25
0.26,0.25,0.23,0.24,0.25
0.28,0.27,0.26,0.27,0.27
0.26,0.25,0.23,0.25,0.27
