baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.5,0.54,0.55,0.56,0.5
0.5,0.54,0.55,0.55,0.5
0.5,0.54,0.55,0.56,0.5
0.5,0.54,0.55,0.55,0.5
0.51,0.55,0.56,0.56,0.5
0.5,0.54,0.55,0.55,0.5
0.5,0.54,0.55,0.54,0.5
0.49,0.52,0.53,0.53,0.5
0.48,0.5,0.51,0.51,0.5
0.47,0.48,0.49,0.5,0.5
0.47,0.48,0.49,0.5,0.49
0.47,0.48,0.49,0.5,0.5
0.46,0.46,0.47,0.49,0.49
0.45,0.45,0.45,0.47,0.48
0.45,0.45,0.45,0.47,0.48
0.45,0.45,0.45,0.47,0.48
0.45,0.45,0.45,0.47,0.48
0.44,0.43,0.44,0.45,0.47
0.43,0.41,0.42,0.44,0.46
0.42,0.39,0.4,0.43,0.46
0.42,0.39,0.4,0.42,0.46
0.42,0.39,0.4,0.43,0.45
0.43,0.41,0.42,0.44,0.46
0.42,0.39,0.4,0.43,0.46
0.42,0.39,0.4,0.43,0.46
0.42,0.39,0.4,0.43,0.45
0.41,0.37,0.38,0.42,0.45
0.4,0.36,0.36,0.4,0.44
0.41,0.37,0.38,0.41,0.44
0.41,0.37,0.38,0.41,0.45
0.41,0.37,0.38,0.41,0.46
0.41,0.37,0.38,0.41,0.45
0.42,0.39,0.4,0.42,0.45
0.43,0.41,0.42,0.43,0.46
0.44,0.43,0.44,0.44,0.47
0.44,0.43,0.44,0.45,0.47
0.44,0.43,0.44,0.44,0.48
0.44,0.43,0.44,0.44,0.47
0.45,0.45,0.45,0.45,0.48
0.45,0.45,0.45,0.45,0.48
0.45,0.45,0.45,0.45,0.48
0.45,0.45,0.45,0.45,0.47
0.44,0.43,0.44,0.43,0.48
0.43,0.41,0.42,0.42,0.47
0.43,0.41,0.42,0.42,0.46
0.43,0.41,0.42,0.42,0.46
0.42,0.39,0.4,0.4,0.46
0.43,0.41,0.42,0.42,0.46
0.42,0.39,0.4,0.41,0.47
0.42,0.39,0.4,0.4,0.47
0.41,0.37,0.38,0.39,0.47
0.41,0.37,0.38,0.39,0.46
0.42,0.39,0.4,0.41,0.47
0.43,0.41,0.42,0.42,0.48
0.44,0.43,0.44,0.43,0.49
0.44,0.43,0.44,0.43,0.5
0.45,0.45,0.45,0.45,0.5
0.45,0.45,0.45,0.45,0.5
0.45,0.45,0.45,0.45,0.5
0.45,0.45,0.45,0.45,0.5
0.46,0.46,0.46,0.47,0.51
0.47,0.48,0.48,0.48,0.52
0.46,0.46,0.46,0.47,0.52
0.46,0.46,0.46,0.46,0.51
0.45,0.45,0.43,0.44,0.5
0.44,0.43,0.38,0.42,0.5
0.44,0.43,0.38,0.42,0.5
0.44,0.43,0.36,0.42,0.5
0.45,0.45,0.38,0.44,0.5
0.46,0.46,0.41,0.46,0.5
0.46,0.46,0.43,0.46,0.51
0.47,0.48,0.47,0.47,0.51
0.48,0.5,0.5,0.49,0.51
0.47,0.48,0.48,0.47,0.51
0.48,0.5,0.49,0.49,0.51
0.48,0.5,0.49,0.49,0.52
0.49,0.52,0.5,0.5,0.51
0.5,0.54,0.52,0.52,0.52
0.51,0.55,0.54,0.53,0.53
0.51,0.55,0.54,0.54,0.54
0.51,0.55,0.55,0.54,0.53
0.51,0.55,0.55,0.53,0.54
0.51,0.55,0.55,0.54,0.55
0.52,0.57,0.56,0.56,0.55
0.52,0.57,0.57,0.56,0.56
0.51,0.55,0.56,0.54,0.56
0.5,0.54,0.55,0.53,0.55
0.5,0.54,0.55,0.53,0.55
0.5,0.54,0.54,0.52,0.54
0.5,0.54,0.54,0.53,0.54
0.49,0.52,0.52,0.51,0.55
0.5,0.54,0.54,0.53,0.54
0.49,0.52,0.52,0.51,0.54
0.49,0.52,0.52,0.51,0.54
0.48,0.5,0.5,0.49,0.54
0.49,0.52,0.52,0.5,0.54
0.5,0.54,0.53,0.52,0.55
0.49,0.52,0.51,0.5,0.55
0.49,0.52,0.51,0.51,0.55
0.49,0.52,0.52,0.52,0.56
0.49,0.52,0.52,0.53,0.57
0.49,0.52,0.53,0.53,0.58
0.49,0.52,0.54,0.54,0.59
0.5,0.54,0.55,0.54,0.58
0.5,0.54,0.55,0.55,0.59
0.51,0.55,0.57,0.57,0.59
0.52,0.57,0.59,0.58,0.6
0.52,0.57,0.59,0.58,0.59
0.53,0.59,0.61,0.59,0.6
0.53,0.59,0.6,0.59,0.59
0.53,0.59,0.6,0.6,0.59
0.53,0.59,0.6,0.6,0.6
0.53,0.59,0.6,0.6,0.59
0.53,0.59,0.61,0.61,0.59
0.53,0.59,0.61,0.6,0.59
0.52,0.57,0.59,0.58,0.58
0.51,0.55,0.57,0.56,0.57
0.51,0.55,0.59,0.57,0.57
0.51,0.55,0.59,0.57,0.57
0.51,0.55,0.58,0.57,0.57
0.5,0.54,0.56,0.56,0.56
0.51,0.55,0.57,0.57,0.55
0.51,0.55,0.57,0.56,0.56
0.52,0.57,0.59,0.58,0.56
0.51,0.55,0.57,0.57,0.56
0.51,0.55,0.57,0.57,0.55
0.52,0.57,0.58,0.58,0.55
0.53,0.59,0.59,0.59,0.56
0.53,0.59,0.6,0.59,0.57
0.54,0.61,0.62,0.61,0.57
0.53,0.59,0.6,0.59,0.56
0.54,0.61,0.62,0.61,0.56
0.54,0.61,0.62,0.61,0.56
0.53,0.59,0.62,0.6,0.56
0.52,0.57,0.6,0.57,0.55
0.53,0.59,0.62,0.58,0.54
0.52,0.57,0.6,0.57,0.54
0.52,0.57,0.6,0.57,0.53
0.51,0.55,0.58,0.55,0.53
0.5,0.54,0.57,0.54,0.53
0.49,0.52,0.55,0.52,0.53
0.5,0.54,0.55,0.54,0.53
0.51,0.55,0.57,0.55,0.54
0.51,0.55,0.57,0.54,0.53
0.52,0.57,0.59,0.57,0.54
0.53,0.59,0.6,0.58,0.55
0.53,0.59,0.6,0.59,0.55
0.53,0.59,0.6,0.59,0.56
0.53,0.59,0.6,0.58,0.55
0.53,0.59,0.6,0.59,0.55
0.53,0.59,0.6,0.59,0.54
0.54,0.61,0.62,0.6,0.54
0.53,0.59,0.6,0.58,0.54
0.53,0.59,0.6,0.58,0.54
0.52,0.57,0.58,0.56,0.54
0.51,0.55,0.56,0.55,0.53
0.51,0.55,0.56,0.54,0.53
0.52,0.57,0.58,0.55,0.53
0.53,0.59,0.6,0.57,0.53
0.53,0.59,0.6,0.57,0.53
0.52,0.57,0.56,0.55,0.53
0.51,0.55,0.55,0.52,0.53
0.52,0.57,0.57,0.55,0.53
0.52,0.57,0.59,0.56,0.54
0.53,0.59,0.62,0.58,0.55
0.54,0.61,0.64,0.6,0.56
0.54,0.61,0.65,0.61,0.57
0.54,0.61,0.65,0.61,0.56
0.54,0.61,0.67,0.61,0.56
0.54,0.61,0.66,0.61,0.56
0.54,0.61,0.64,0.61,0.56
0.54,0.61,0.62,0.6,0.56
0.53,0.59,0.62,0.59,0.56
0.53,0.59,0.6,0.58,0.56
0.52,0.57,0.59,0.57,0.56
0.52,0.57,0.59,0.57,0.56
0.51,0.55,0.58,0.55,0.55
0.51,0.55,0.59,0.55,0.56
0.5,0.54,0.56,0.53,0.55
0.49,0.52,0.55,0.51,0.54
0.5,0.54,0.56,0.53,0.54
0.5,0.54,0.56,0.54,0.55
0.5,0.54,0.56,0.53,0.54
0.49,0.52,0.56,0.52,0.53
0.48,0.5,0.55,0.5,0.53
0.49,0.52,0.55,0.52,0.53
0.49,0.52,0.55,0.51,0.53
0.49,0.52,0.55,0.51,0.53
0.49,0.52,0.55,0.52,0.53
0.49,0.52,0.53,0.51,0.53
0.5,0.54,0.54,0.52,0.53
0.5,0.54,0.54,0.53,0.53
0.51,0.55,0.56,0.54,0.54
0.51,0.55,0.56,0.55,0.55
0.52,0.57,0.58,0.57,0.55
0.51,0.55,0.56,0.55,0.55
0.5,0.54,0.56,0.54,0.54
0.5,0.54,0.55,0.54,0.53
0.5,0.54,0.55,0.54,0.54
0.51,0.55,0.57,0.55,0.54
0.52,0.57,0.58,0.57,0.54
0.53,0.59,0.58,0.57,0.53
0.52,0.57,0.56,0.56,0.52
0.51,0.55,0.56,0.55,0.51
0.51,0.55,0.56,0.55,0.52
0.5,0.54,0.54,0.53,0.52
0.49,0.52,0.52,0.52,0.51
0.5,0.54,0.54,0.54,0.51
0.49,0.52,0.52,0.52,0.51
0.49,0.52,0.53,0.53,0.5
0.49,0.52,0.53,0.53,0.5
0.49,0.52,0.52,0.52,0.51
0.5,0.54,0.54,0.54,0.51
0.5,0.54,0.54,0.53,0.51
0.49,0.52,0.52,0.52,0.51
0.5,0.54,0.54,0.54,0.52
0.5,0.54,0.55,0.54,0.52
0.51,0.55,0.56,0.55,0.53
0.51,0.55,0.56,0.55,0.52
0.51,0.55,0.56,0.55,0.52
0.51,0.55,0.55,0.54,0.52
0.51,0.55,0.54,0.54,0.52
0.51,0.55,0.53,0.54,0.53
0.51,0.55,0.53,0.54,0.52
0.51,0.55,0.53,0.53,0.51
0.52,0.57,0.55,0.55,0.52
0.51,0.55,0.54,0.54,0.52
0.51,0.55,0.54,0.55,0.52
0.51,0.55,0.54,0.55,0.52
0.5,0.54,0.52,0.53,0.51
0.51,0.55,0.54,0.55,0.51
0.5,0.54,0.52,0.53,0.52
0.49,0.52,0.5,0.52,0.51
0.5,0.54,0.52,0.53,0.52
