baseline_discrepances,dys_distances
0.13,0.2911716619471939
0.128,0.28549354809339855
0.138,0.2862781951929889
0.14,0.2660765166905464
0.15,0.24641376853962346
0.156,0.23312723340413405
0.154,0.23499539655847135
0.163,0.19493754003729008
0.168,0.17881859773693204
0.184,0.17125815229950353
0.184,0.17125815229950353
0.191,0.15094582767925038
0.188,0.16112465345812615
0.2,0.160516413248315
0.207,0.15277098206319314
0.208,0.15382319752786858
0.211,0.14906374536328101
0.211,0.14217701283516437
0.215,0.13865746582703908
0.223,0.1353708723331773
0.224,0.1304115175811102
0.234,0.12980116891656612
0.236,0.13360702830456
0.236,0.1334433947657787
0.234,0.13014618426090024
0.238,0.12514682506910496
0.244,0.09806666512371544
0.243,0.10729698956927433
0.247,0.1094451211106578
0.248,0.10920157615748946
0.255,0.10196810945820514
0.26,0.09660623788653032
0.257,0.09242592326891744
0.262,0.09052332517083492
0.269,0.07946452810668615
0.267,0.0766074592545854
0.28,0.07284673574346898
0.281,0.06950086050024504
0.283,0.07473621392060191
0.285,0.06820298482438303
0.285,0.06509523603108906
0.285,0.06509523603108906
0.29,0.0718606119862604
0.292,0.06598316824923395
0.29,0.0888797955591983
0.296,0.08622801398651027
0.295,0.08622801398651027
0.297,0.08119482100404207
0.299,0.07243770587295864
0.311,0.07937806765916426
0.322,0.07465709935184371
0.317,0.07901459962736083
0.32,0.08552432810272938
0.321,0.05550314066876293
0.325,0.045617862219152504
0.315,0.03666086897339584
0.314,0.022644600300172436
0.318,0.022061163259058162
0.315,0.025512447456367278
0.314,0.025512447456367278
0.298,0.026655512966282602
0.302,0.03164797313742743
0.296,0.03495304212354552
0.299,0.0354624329106694
0.293,0.029766738214112118
0.285,0.037451301491096885
0.29,0.048738333004206574
0.29,0.053967429278543214
0.286,0.04903890055177063
0.285,0.049038591611458286
0.282,0.06530009146218532
0.288,0.06308706110270816
0.279,0.06290980045820714
0.275,0.060493183203548684
0.28,0.05465097219752096
0.285,0.03912991941386684
0.285,0.03153364291234575
0.279,0.02914653840147774
0.293,0.032297454406036326
0.292,0.03334595405218993
0.288,0.04048344225739721
0.282,0.05412364262889541
0.29,0.05412364262889541
0.298,0.040475673559295454
0.303,0.04065880701312081
0.298,0.0494981692854429
0.304,0.048980332920499275
0.299,0.045297674942732576
0.31,0.062876054232158
0.313,0.0642883134601191
0.315,0.062126244038414914
0.319,0.05716720217603565
0.319,0.06487206014507091
0.314,0.0647909378092562
0.313,0.06675609058119916
0.317,0.07942147451026156
0.315,0.08215573261736916
0.313,0.08649986908735904
0.319,0.08074386198689606
0.317,0.07547969041173755
0.305,0.07605107865083134
0.305,0.07605107865083134
0.309,0.07662535340210827
0.305,0.0664133991694627
0.295,0.0691265307395588
0.296,0.06266287729158147
0.304,0.07626420937092758
0.306,0.07507448626329252
0.306,0.07502910016963771
0.314,0.0791921595112001
0.316,0.07139983019713034
0.318,0.07137241034343747
0.315,0.08074830774436939
0.315,0.08632712132793138
0.315,0.08018234261003288
0.308,0.07948391568328257
0.311,0.08290168883214266
0.311,0.08290168883214266
0.309,0.06652241250487957
0.313,0.06230013690195399
0.317,0.060420953821482985
0.31,0.059242591496526276
0.302,0.06310150404668725
0.298,0.08228539958241166
0.3,0.08040582683912101
0.296,0.08281762317934298
0.292,0.08547064228385053
0.289,0.07723555136357657
0.292,0.07496678284286418
0.286,0.07671251641771545
0.283,0.076176054686065
0.29,0.110809890486225
0.296,0.1103676095711479
0.286,0.09867753331381637
0.283,0.09788495064712874
0.281,0.0991191292309599
0.283,0.10281305370899013
0.274,0.10626308988604297
0.28,0.10176575943747575
0.275,0.10563961373671128
0.268,0.11008721888608078
0.264,0.11016102474656622
0.265,0.11300742189128055
0.267,0.11305776541911533
0.273,0.1134393571783189
0.276,0.10757986104965335
0.274,0.06909908790765693
0.269,0.08456123209618405
0.271,0.09029875948243221
0.273,0.08650162098243033
0.285,0.08281224529145476
0.287,0.06533467594626817
0.282,0.07057493695342243
0.278,0.07324368861591632
0.278,0.07130005130093495
0.276,0.05838558955882681
0.276,0.05871899480755477
0.28,0.061140475319867646
0.279,0.06787772322203633
0.276,0.05786152656522982
0.267,0.06325905349907925
0.265,0.0567181123180711
0.275,0.06851288614192023
0.289,0.08467055465733501
0.286,0.08800671634996811
0.298,0.10147290843073978
0.3,0.0964304831399674
0.299,0.08439652421477135
0.309,0.0819680453639385
0.311,0.07691086558018202
0.311,0.08130038628153102
0.307,0.08706010250994757
0.313,0.07726821178086007
0.315,0.07871041039428141
0.328,0.09677608102938293
0.336,0.0912919119884708
0.337,0.09032241370100157
0.337,0.09032241370100157
0.342,0.09003053315081969
0.336,0.10032054569499721
0.331,0.09173719246982183
0.333,0.08846351311275732
0.337,0.09285955078135255
0.331,0.10095232647849531
0.33,0.08895609335224225
0.33,0.08895609335224225
0.328,0.09973190947631545
0.326,0.09697092419807822
0.327,0.09694125608116132
0.32,0.08443476711462636
0.316,0.07267810645194728
0.319,0.0760536543375662
0.327,0.06144651483437884
0.332,0.07716368070257584
0.33,0.08643987911653939
0.326,0.095921969645979
0.332,0.09602359429109679
0.331,0.0943562198841417
0.339,0.07922968300235536
0.335,0.07563831356574525
0.329,0.08831811464106647
0.335,0.0918708703792244
0.339,0.08304838530366586
0.339,0.08304838530366586
0.344,0.0858223743765448
0.341,0.08015839250007988
0.34,0.08087481728197699
0.336,0.07973453048208026
0.328,0.07740808328931997
0.329,0.06769222161964991
0.329,0.06778696621116129
0.329,0.06917027360759631
0.328,0.08096530627164113
0.32,0.08096530336596089
0.309,0.0834514218843675
0.324,0.08453198282064843
0.313,0.08455189322560772
0.317,0.08126204429800264
0.315,0.0789998139975947
0.305,0.07250399640661395
0.317,0.07247938820619065
0.314,0.06705506805145729
0.313,0.06351299539262183
0.313,0.06643311837479221
0.314,0.06527904056356386
0.31,0.06873722890147307
0.31,0.09614644628923497
0.307,0.09617731962823022
0.307,0.08698882201637745
0.305,0.0878038343531144
0.316,0.08339757091037424
0.324,0.06821095339150356
0.325,0.0634413616924388
0.312,0.04958602311094713
0.316,0.048624908209393095
0.319,0.06489603827399082
0.321,0.06531137225717085
0.321,0.06531137225717085
0.324,0.06354915630071725
0.327,0.06715096628326327
0.32,0.06530587872239323
0.322,0.08741593295526257
0.326,0.0887450336721956
