baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.41,0.4,0.4,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.4,0.4,0.4,0.4,0.4
0.41,0.4,0.4,0.4,0.41
0.4,0.4,0.4,0.4,0.4
0.41,0.4,0.4,0.4,0.41
0.41,0.41,0.41,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.41,0.4,0.4,0.4,0.41
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.4,0.39,0.39,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.41,0.4,0.4,0.4,0.41
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.4,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.4,0.4,0.4,0.39,0.4
0.4,0.39,0.39,0.39,0.4
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.38,0.39
0.39,0.38,0.38,0.38,0.39
0.39,0.38,0.38,0.38,0.39
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
