baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.51,0.54,0.55,0.56,0.5
0.52,0.56,0.57,0.57,0.51
0.52,0.56,0.57,0.57,0.52
0.53,0.58,0.59,0.58,0.52
0.53,0.58,0.59,0.58,0.53
0.53,0.58,0.59,0.58,0.54
0.54,0.6,0.61,0.59,0.54
0.54,0.6,0.61,0.59,0.55
0.54,0.6,0.61,0.59,0.55
0.54,0.6,0.61,0.59,0.55
0.54,0.6,0.61,0.59,0.54
0.54,0.6,0.61,0.59,0.55
0.53,0.58,0.59,0.58,0.54
0.53,0.58,0.59,0.58,0.54
0.53,0.58,0.59,0.58,0.54
0.53,0.58,0.59,0.58,0.54
0.53,0.58,0.59,0.58,0.54
0.53,0.58,0.59,0.58,0.54
0.52,0.56,0.57,0.57,0.53
0.51,0.54,0.55,0.55,0.52
0.5,0.53,0.54,0.54,0.51
0.51,0.54,0.54,0.55,0.51
0.51,0.54,0.54,0.55,0.51
0.51,0.54,0.54,0.55,0.52
0.5,0.53,0.53,0.54,0.51
0.5,0.53,0.53,0.54,0.5
0.49,0.51,0.51,0.52,0.5
0.48,0.49,0.49,0.51,0.5
0.49,0.51,0.51,0.52,0.49
0.5,0.53,0.53,0.54,0.5
0.49,0.51,0.51,0.52,0.5
0.5,0.53,0.53,0.54,0.5
0.5,0.53,0.53,0.54,0.5
0.51,0.54,0.54,0.55,0.5
0.51,0.54,0.54,0.55,0.5
0.51,0.54,0.54,0.56,0.51
0.51,0.54,0.54,0.55,0.52
0.51,0.54,0.54,0.56,0.51
0.51,0.54,0.54,0.56,0.51
0.51,0.54,0.54,0.56,0.52
0.51,0.54,0.54,0.56,0.52
0.51,0.54,0.54,0.56,0.51
0.5,0.53,0.53,0.54,0.51
0.5,0.53,0.53,0.54,0.51
0.51,0.54,0.54,0.55,0.51
0.51,0.54,0.54,0.55,0.51
0.51,0.54,0.54,0.56,0.52
0.51,0.54,0.54,0.56,0.51
0.5,0.53,0.53,0.55,0.51
0.5,0.53,0.53,0.55,0.51
0.5,0.53,0.53,0.55,0.51
0.5,0.53,0.53,0.55,0.5
0.5,0.53,0.53,0.55,0.51
0.51,0.54,0.54,0.56,0.52
0.52,0.56,0.56,0.58,0.53
0.51,0.54,0.54,0.57,0.53
0.51,0.54,0.54,0.57,0.52
0.51,0.54,0.54,0.58,0.52
0.52,0.56,0.56,0.59,0.53
0.52,0.56,0.57,0.6,0.54
0.53,0.58,0.59,0.61,0.55
0.54,0.6,0.61,0.63,0.55
0.54,0.6,0.61,0.63,0.56
0.54,0.6,0.61,0.63,0.56
0.53,0.58,0.59,0.61,0.55
0.53,0.58,0.59,0.61,0.55
0.53,0.58,0.59,0.61,0.55
0.52,0.56,0.57,0.6,0.54
0.52,0.56,0.57,0.6,0.53
0.53,0.58,0.59,0.61,0.54
0.52,0.56,0.58,0.6,0.55
0.53,0.58,0.59,0.61,0.55
0.54,0.6,0.61,0.63,0.56
0.54,0.6,0.61,0.63,0.57
0.55,0.61,0.64,0.64,0.57
0.55,0.61,0.64,0.65,0.58
0.56,0.63,0.65,0.66,0.58
0.57,0.65,0.67,0.67,0.59
0.58,0.67,0.67,0.68,0.59
0.57,0.65,0.67,0.67,0.6
0.57,0.65,0.67,0.67,0.59
0.57,0.65,0.66,0.66,0.59
0.57,0.65,0.66,0.66,0.59
0.57,0.65,0.67,0.67,0.59
0.57,0.65,0.67,0.67,0.6
0.57,0.65,0.64,0.66,0.6
0.56,0.63,0.63,0.66,0.59
0.56,0.63,0.63,0.66,0.59
0.55,0.61,0.61,0.64,0.58
0.55,0.61,0.61,0.64,0.58
0.55,0.61,0.61,0.64,0.59
0.56,0.63,0.63,0.66,0.59
0.55,0.61,0.61,0.64,0.59
0.54,0.6,0.6,0.62,0.58
0.53,0.58,0.59,0.61,0.58
0.53,0.58,0.58,0.6,0.57
0.54,0.6,0.6,0.62,0.58
0.54,0.6,0.6,0.62,0.59
0.55,0.61,0.62,0.64,0.59
0.55,0.61,0.64,0.64,0.59
0.54,0.6,0.62,0.62,0.6
0.53,0.58,0.6,0.6,0.6
0.52,0.56,0.6,0.59,0.59
0.51,0.54,0.59,0.58,0.59
0.52,0.56,0.6,0.59,0.59
0.51,0.54,0.59,0.58,0.58
0.51,0.54,0.59,0.57,0.58
0.51,0.54,0.59,0.57,0.58
0.5,0.53,0.58,0.56,0.57
0.49,0.51,0.58,0.55,0.56
0.5,0.53,0.6,0.57,0.56
0.49,0.51,0.6,0.56,0.56
0.49,0.51,0.59,0.56,0.55
0.48,0.49,0.57,0.54,0.55
0.47,0.47,0.56,0.53,0.54
0.47,0.47,0.56,0.53,0.54
0.47,0.47,0.56,0.52,0.54
0.47,0.47,0.55,0.51,0.54
0.47,0.47,0.55,0.52,0.53
0.47,0.47,0.54,0.52,0.54
0.47,0.47,0.54,0.52,0.54
0.47,0.47,0.56,0.53,0.55
