baseline_discrepances,dys_distances
0.111,0.16503570766973563
0.115,0.14733581240173318
0.12,0.14963991172993887
0.119,0.15533620714803625
0.118,0.15752019487366758
0.123,0.1493831477453104
0.126,0.1367641389382254
0.133,0.13362910906192904
0.134,0.13038399482714055
0.135,0.12962712537880297
0.133,0.1326036060861165
0.133,0.13261322921134683
0.139,0.12935099280999418
0.141,0.12146195850264617
0.142,0.11952702835242796
0.142,0.11952702835242796
0.143,0.11836596858994007
0.145,0.10063174481239817
0.149,0.09593550195204763
0.151,0.0948895875842514
0.155,0.09287840950146593
0.158,0.08398730856007672
0.159,0.07994750771593134
0.158,0.08058608865874774
0.16,0.07706069286829931
0.161,0.07777293890840738
0.163,0.07700296947041585
0.167,0.06805566267867638
0.169,0.06757561976593279
0.169,0.0685582902452686
0.169,0.06456072747588748
0.171,0.06326981240464839
0.173,0.06066738701495006
0.18,0.05784558298832252
0.185,0.054796418167362894
0.188,0.054205148648214005
0.189,0.054037436872760934
0.191,0.045055512802997875
0.192,0.04494771109004983
0.191,0.04494771109004983
0.194,0.0400240929928045
0.195,0.03796332887170776
0.197,0.03604748970565201
0.202,0.03294906097356397
0.201,0.03448828326647868
0.202,0.03647950223079119
0.2,0.03864300258418307
0.199,0.03926632886421291
0.2,0.03926632886421291
0.2,0.039261497797045256
0.203,0.03355052624533711
0.207,0.03291500484912974
0.205,0.035700145959787793
0.212,0.03251030490888625
0.213,0.03068625690328749
0.214,0.03059554118173059
0.213,0.030587428346441275
0.214,0.029043504071941686
0.215,0.029043504071941686
0.213,0.03068686323664423
0.217,0.02942000808199243
0.215,0.029850743813566373
0.217,0.03159373624523793
0.214,0.036861354910525
0.212,0.03842013579283511
0.212,0.03958669569851357
0.22,0.03861800450947627
0.223,0.03674318833250432
0.226,0.031150929469938984
0.23,0.02717611047563821
0.228,0.028716438332840467
0.229,0.026436084961235243
0.229,0.03001530325781914
0.229,0.03037500667724615
0.229,0.026436084961235243
0.23,0.026436084961235243
0.229,0.02643519728678665
0.23,0.027922919177230478
0.23,0.027730613288113434
0.229,0.03024527495256786
0.233,0.028824815735828277
0.236,0.029488361760031945
0.238,0.03129519964915355
0.239,0.03138136067419146
0.244,0.033068172998968456
