baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.49,0.55,0.58,0.56,0.49
0.49,0.55,0.58,0.57,0.49
0.49,0.55,0.6,0.57,0.49
0.51,0.58,0.64,0.6,0.51
0.51,0.58,0.64,0.59,0.53
0.53,0.62,0.64,0.61,0.55
0.51,0.58,0.61,0.59,0.53
0.51,0.58,0.61,0.59,0.55
0.51,0.58,0.61,0.59,0.55
0.51,0.58,0.6,0.59,0.55
0.51,0.58,0.6,0.59,0.55
0.53,0.62,0.62,0.61,0.57
0.53,0.62,0.59,0.59,0.57
0.53,0.62,0.59,0.6,0.57
0.53,0.62,0.58,0.59,0.57
0.51,0.58,0.55,0.56,0.57
0.49,0.55,0.52,0.53,0.55
0.49,0.55,0.52,0.53,0.55
0.49,0.55,0.52,0.53,0.57
0.47,0.52,0.48,0.5,0.55
0.47,0.52,0.51,0.51,0.55
0.45,0.48,0.48,0.47,0.55
0.45,0.48,0.48,0.47,0.55
0.45,0.48,0.48,0.47,0.55
0.45,0.48,0.45,0.45,0.55
0.47,0.52,0.49,0.49,0.57
0.47,0.52,0.49,0.49,0.59
0.45,0.48,0.45,0.46,0.57
0.47,0.52,0.46,0.47,0.59
0.47,0.52,0.46,0.48,0.61
0.47,0.52,0.44,0.46,0.59
0.47,0.52,0.45,0.46,0.59
0.47,0.52,0.45,0.47,0.61
0.49,0.55,0.49,0.5,0.63
0.47,0.52,0.45,0.47,0.63
0.47,0.52,0.45,0.47,0.63
0.45,0.48,0.43,0.44,0.61
0.47,0.52,0.45,0.47,0.63
0.45,0.48,0.44,0.45,0.61
0.47,0.52,0.47,0.49,0.63
0.47,0.52,0.47,0.49,0.63
0.49,0.55,0.51,0.52,0.65
0.47,0.52,0.48,0.5,0.65
0.45,0.48,0.45,0.46,0.63
0.45,0.48,0.45,0.46,0.65
0.45,0.48,0.45,0.45,0.67
0.45,0.48,0.45,0.45,0.67
0.43,0.45,0.41,0.42,0.67
0.43,0.45,0.39,0.4,0.67
0.41,0.42,0.36,0.37,0.65
0.43,0.45,0.38,0.39,0.65
0.43,0.45,0.4,0.41,0.65
0.43,0.45,0.38,0.38,0.65
0.43,0.45,0.37,0.38,0.65
0.41,0.42,0.34,0.34,0.63
0.41,0.42,0.33,0.34,0.61
0.41,0.42,0.35,0.36,0.61
0.43,0.45,0.39,0.4,0.63
0.43,0.45,0.38,0.4,0.61
0.43,0.45,0.38,0.4,0.61
0.43,0.45,0.38,0.4,0.61
0.43,0.45,0.38,0.4,0.61
0.43,0.45,0.4,0.41,0.59
0.43,0.45,0.42,0.43,0.59
0.43,0.45,0.42,0.43,0.61
0.41,0.42,0.39,0.4,0.59
0.41,0.42,0.39,0.41,0.59
0.43,0.45,0.42,0.44,0.61
0.45,0.48,0.45,0.47,0.63
0.47,0.52,0.48,0.49,0.63
0.49,0.55,0.51,0.52,0.65
0.49,0.55,0.51,0.51,0.63
0.51,0.58,0.54,0.56,0.63
0.49,0.55,0.51,0.53,0.63
0.51,0.58,0.54,0.56,0.65
0.49,0.55,0.52,0.53,0.65
0.47,0.52,0.48,0.49,0.63
0.47,0.52,0.48,0.49,0.63
0.49,0.55,0.52,0.53,0.65
0.47,0.52,0.49,0.51,0.63
0.47,0.52,0.49,0.5,0.63
0.45,0.48,0.48,0.49,0.65
0.43,0.45,0.45,0.46,0.65
0.43,0.45,0.45,0.46,0.63
0.43,0.45,0.45,0.46,0.63
0.43,0.45,0.45,0.46,0.61
0.43,0.45,0.45,0.46,0.61
0.43,0.45,0.45,0.46,0.61
0.43,0.45,0.45,0.47,0.59
0.43,0.45,0.45,0.47,0.61
0.43,0.45,0.44,0.46,0.61
