IBDD-CC,IBDD-ACC,IBDD-MS,IBDD-DyS,real_IBDD,baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline,IKS-CC,IKS-ACC,IKS-MS,IKS-DyS,real_IKS
0.39,0.39,0.41,0.41,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.39,0.39,0.41,0.42,0.33,0.38,0.36,0.43,0.43,0.33,0.39,0.38,0.39,0.41,0.33
0.39,0.39,0.41,0.42,0.33,0.38,0.36,0.44,0.43,0.33,0.39,0.38,0.39,0.41,0.33
0.4,0.41,0.43,0.43,0.34,0.39,0.38,0.45,0.45,0.34,0.4,0.4,0.41,0.43,0.34
0.39,0.39,0.41,0.42,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.39,0.39,0.41,0.42,0.33,0.38,0.36,0.43,0.43,0.33,0.39,0.38,0.39,0.41,0.33
0.39,0.39,0.41,0.41,0.33,0.38,0.36,0.43,0.43,0.33,0.39,0.38,0.39,0.41,0.33
0.4,0.41,0.41,0.42,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.4,0.41,0.41,0.42,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.4,0.41,0.41,0.42,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.4,0.41,0.41,0.42,0.35,0.38,0.36,0.43,0.43,0.35,0.39,0.38,0.39,0.41,0.35
0.4,0.41,0.41,0.42,0.34,0.38,0.36,0.43,0.43,0.34,0.39,0.38,0.39,0.41,0.34
0.39,0.39,0.41,0.41,0.34,0.37,0.34,0.41,0.42,0.34,0.38,0.37,0.38,0.4,0.34
0.38,0.38,0.39,0.39,0.33,0.36,0.33,0.39,0.4,0.33,0.37,0.35,0.36,0.39,0.33
0.37,0.36,0.37,0.38,0.32,0.35,0.31,0.38,0.39,0.32,0.36,0.33,0.34,0.37,0.32
0.37,0.36,0.37,0.38,0.31,0.35,0.31,0.38,0.39,0.31,0.36,0.33,0.34,0.37,0.31
0.37,0.36,0.37,0.38,0.32,0.35,0.31,0.38,0.39,0.32,0.36,0.33,0.34,0.37,0.32
0.37,0.36,0.36,0.37,0.32,0.34,0.3,0.36,0.37,0.32,0.35,0.32,0.34,0.36,0.32
0.37,0.36,0.36,0.37,0.31,0.34,0.3,0.36,0.37,0.31,0.35,0.32,0.34,0.36,0.31
0.36,0.34,0.34,0.36,0.3,0.33,0.28,0.34,0.36,0.3,0.34,0.3,0.32,0.35,0.3
0.36,0.34,0.34,0.36,0.3,0.33,0.28,0.34,0.36,0.3,0.34,0.3,0.32,0.35,0.3
0.36,0.34,0.34,0.36,0.29,0.33,0.28,0.34,0.36,0.29,0.34,0.3,0.32,0.35,0.29
0.35,0.33,0.33,0.34,0.29,0.32,0.26,0.33,0.34,0.29,0.33,0.28,0.31,0.33,0.29
0.35,0.33,0.33,0.34,0.28,0.32,0.26,0.33,0.34,0.28,0.33,0.28,0.31,0.33,0.28
0.35,0.33,0.33,0.34,0.29,0.32,0.26,0.33,0.34,0.29,0.33,0.28,0.31,0.33,0.29
0.34,0.31,0.31,0.33,0.29,0.31,0.25,0.31,0.33,0.29,0.32,0.27,0.29,0.32,0.29
0.34,0.31,0.31,0.33,0.28,0.31,0.25,0.31,0.33,0.28,0.32,0.27,0.29,0.32,0.28
