baseline_discrepances,dys_distances
0.121,0.2957709902862073
0.123,0.2932250761328594
0.123,0.29039173341863134
0.124,0.289722364305792
0.126,0.2792952594214773
0.125,0.27950516390897173
0.124,0.28277128528929685
0.129,0.25641547380277663
0.128,0.25714071171322317
0.131,0.2356380933978339
0.133,0.22473162249904768
0.134,0.22142071108672653
0.134,0.2217109981518972
0.136,0.2117843977605265
0.135,0.21487649629979858
0.136,0.21382675179232633
0.135,0.21382675179232633
0.136,0.21259640441892835
0.137,0.21182703665851632
0.142,0.20047848150802008
0.142,0.20047848150802008
0.143,0.1999355228151422
0.142,0.20037227140042468
0.144,0.1932999104829874
0.15,0.19470984228070198
0.153,0.18543702431661965
0.157,0.17875035727851707
0.16,0.1781348979230067
0.161,0.17736343176917085
0.164,0.16671778831970124
0.171,0.16422442239374926
0.17,0.17026962301457485
0.17,0.17140854973782343
0.173,0.16126840142703064
0.177,0.14093159323789628
0.181,0.13151754343723246
0.182,0.12949557216726498
0.184,0.12492419156722599
0.182,0.12949622260817775
0.189,0.12308997736790751
0.19,0.11750727025187421
0.192,0.1097109887347663
0.197,0.10360259361944521
0.198,0.10360259361944521
0.201,0.10739303895363575
0.206,0.10014903649281003
0.206,0.1001918599418444
0.212,0.1001918599418444
0.212,0.1001918599418444
0.214,0.09488678719940288
0.212,0.09640423250215413
0.213,0.09640423250215413
0.212,0.10071545998134951
0.215,0.09739483396825477
0.222,0.08858675981302178
0.222,0.08858675981302178
0.222,0.08858675981302178
0.222,0.08731331874919301
0.224,0.08175197208304773
0.226,0.07523105557612561
0.227,0.06921800369149801
0.229,0.06293569698975753
0.232,0.06442420967848522
0.234,0.0600889398446641
0.233,0.061155062960494624
0.236,0.05646008770599717
0.238,0.05714356311197491
0.238,0.05564743034923264
0.245,0.05284313420217704
0.245,0.05255398232081479
0.251,0.04973788731901617
0.249,0.05079327794946928
0.249,0.05546661148461658
0.251,0.05172841964767261
0.249,0.05503734547248143
0.252,0.04720507673727495
0.254,0.04544590187240404
0.258,0.043127280631358
0.266,0.0421464084785909
0.267,0.04608848043569171
0.267,0.04597833702338698
0.267,0.04597833702338698
0.266,0.0488469728964924
0.272,0.04615373801770657
0.276,0.04504895121970689
0.275,0.041367837414859054
0.278,0.03682803975754041
0.279,0.03514148434998978
0.285,0.03067994813388332
0.286,0.030018030852952477
0.288,0.025766436720553794
0.292,0.024686903092666523
0.293,0.020449235943812195
0.295,0.02009301903962056
0.294,0.018034677668589946
0.297,0.015503969178931999
0.295,0.018177372142462254
0.303,0.017806664797071853
0.306,0.014819550391242681
0.307,0.014349060389794294
0.308,0.01720146214928326
0.305,0.017119000779589156
0.305,0.018607002348538446
0.313,0.01639136656411308
0.315,0.014259706343837168
0.317,0.012709268254514756
0.318,0.011646315995746195
0.326,0.010325765450878568
0.321,0.012455909073956191
0.324,0.011861053854649231
0.325,0.012771814744139172
0.32,0.014915821756817377
0.322,0.01560103608554532
0.321,0.014915427486748201
0.319,0.013316067102146712
0.32,0.01531026477618887
0.323,0.012916386943739061
0.323,0.012916386943739061
0.323,0.01288632140843173
0.325,0.013914391112659278
0.325,0.013914391112659278
0.327,0.013901249721335992
0.327,0.01567823197288723
0.328,0.016496126283390658
0.326,0.015588001616837233
0.325,0.015601171804539314
0.322,0.019294008492618503
0.323,0.019294008492618503
0.32,0.017735750919159875
0.32,0.017735750919159875
0.317,0.01785552813832949
0.313,0.018766034167701624
0.314,0.019586418502401715
0.315,0.021503988024510246
0.313,0.022517001206399406
0.311,0.024287677931936917
0.308,0.03124012582527237
0.308,0.03124012582527237
0.313,0.029884761878751276
0.314,0.028817048912963147
0.312,0.02762952845228539
0.313,0.026110318182133007
0.31,0.02508123396435312
0.308,0.02453977721720037
0.313,0.01966868553178781
0.314,0.020772351204925217
0.31,0.02578629026250303
0.311,0.025782365826999613
0.303,0.023349260043732202
0.302,0.021759387035123184
0.302,0.021473501437127195
0.302,0.020349129236004213
0.302,0.020665169896185127
0.305,0.020536086887362588
0.3,0.023603619498500896
0.295,0.02483907229219197
0.297,0.026336031326947236
0.296,0.024693353449933057
0.296,0.024693353449933057
0.298,0.02169155327373007
0.297,0.022334351550992382
0.298,0.02200522612461081
0.299,0.022440725061547893
0.294,0.024570551491146505
0.295,0.02593328675627902
0.299,0.02017846280418181
0.297,0.020764842705291595
0.296,0.021629259644530417
0.295,0.022186670973426696
0.29,0.021208851571981165
0.29,0.021208851571981165
0.284,0.021692655704093015
0.287,0.02155778162656233
0.287,0.02155778162656233
0.288,0.021366301201808127
0.289,0.021366301201808127
0.289,0.02044842670098357
0.291,0.021261470807805945
0.288,0.02140756383697404
0.281,0.02202600708393486
0.278,0.021615609822578888
0.278,0.020540620838076562
0.281,0.01960950294204287
0.283,0.01934703316249051
0.281,0.016839194686307637
0.279,0.01764258636342792
0.279,0.01764258636342792
0.28,0.016961236177807804
0.279,0.019392274895505133
0.274,0.024105800618645135
0.274,0.024105800618645135
0.27,0.022185044341328494
0.266,0.021882115113944004
0.268,0.021856593901521115
0.27,0.02312681031042722
0.27,0.01999273760113834
0.27,0.026368780660182743
0.276,0.028132096629653144
0.273,0.02554047850909302
0.273,0.025572018563758857
0.278,0.026120016355095872
0.279,0.025714668633791297
0.277,0.02892089139567351
0.278,0.027944450515894736
0.273,0.029076398190532333
0.273,0.02303118071851057
0.273,0.023764293045402934
0.272,0.024442964846932494
0.266,0.02726664572871837
0.267,0.025572698767348426
0.269,0.025226111920501657
0.268,0.028126946942471708
0.269,0.028136647858611197
0.268,0.02849367921431255
0.269,0.03139577189628961
0.276,0.03186405806701266
0.276,0.03495260393897341
0.279,0.03486172186345495
0.284,0.037298382176994035
0.283,0.03563067294795776
0.282,0.037153857482555085
0.279,0.03515559009301725
0.279,0.03947550649165095
0.279,0.040461864822751194
0.279,0.041047689429046026
0.278,0.041801749795217516
0.272,0.03671278797437353
0.274,0.03833287421596869
0.272,0.03662803805922841
0.274,0.03309896256448417
0.274,0.029949603067311016
0.282,0.03421705558868508
0.281,0.03293437052409836
0.287,0.035832259317043424
0.286,0.035717716873116284
0.286,0.035717716873116284
0.283,0.03974868327947122
0.284,0.0384755798432342
0.285,0.04233628748726928
0.28,0.03838670772833089
0.285,0.036364423555378306
0.282,0.038350358368893875
0.282,0.038518094756077245
0.284,0.03932670264375092
0.285,0.03817150513997705
0.282,0.03937752194371138
0.28,0.039403648401623276
0.279,0.03978612014103585
0.284,0.040599667020261465
0.284,0.035167396859469104
0.287,0.03258784984387914
0.291,0.032002609164507256
0.295,0.03173163093296943
