baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.49,0.55,0.56,0.59,0.5
0.48,0.53,0.54,0.58,0.5
0.49,0.55,0.56,0.6,0.5
0.49,0.55,0.56,0.6,0.5
0.48,0.53,0.54,0.58,0.5
0.49,0.55,0.56,0.6,0.5
0.5,0.57,0.6,0.61,0.51
0.5,0.57,0.6,0.61,0.52
0.5,0.57,0.6,0.61,0.53
0.49,0.55,0.58,0.6,0.52
0.5,0.57,0.6,0.61,0.52
0.49,0.55,0.58,0.59,0.53
0.49,0.55,0.58,0.59,0.53
0.5,0.57,0.6,0.6,0.53
0.5,0.57,0.6,0.6,0.54
0.51,0.58,0.62,0.62,0.54
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.54
0.51,0.58,0.62,0.61,0.55
0.5,0.57,0.6,0.6,0.54
0.5,0.57,0.6,0.6,0.54
0.51,0.58,0.62,0.62,0.54
0.52,0.6,0.63,0.63,0.55
0.53,0.62,0.65,0.64,0.55
0.52,0.6,0.63,0.63,0.56
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.55
0.51,0.58,0.62,0.62,0.56
0.52,0.6,0.63,0.62,0.56
0.52,0.6,0.63,0.62,0.56
0.51,0.58,0.62,0.61,0.56
0.52,0.6,0.63,0.62,0.56
0.53,0.62,0.65,0.64,0.57
0.54,0.63,0.67,0.64,0.58
0.54,0.63,0.67,0.65,0.59
0.54,0.63,0.67,0.64,0.58
0.53,0.62,0.65,0.63,0.57
0.54,0.63,0.67,0.64,0.57
0.55,0.65,0.68,0.65,0.58
0.55,0.65,0.7,0.65,0.58
0.56,0.67,0.72,0.67,0.59
0.56,0.67,0.72,0.67,0.6
0.56,0.67,0.72,0.67,0.59
0.56,0.67,0.72,0.67,0.6
0.56,0.67,0.72,0.66,0.6
0.57,0.68,0.74,0.68,0.59
0.57,0.68,0.74,0.68,0.59
0.56,0.67,0.72,0.67,0.6
0.56,0.67,0.7,0.66,0.6
0.56,0.67,0.7,0.66,0.6
0.57,0.68,0.73,0.68,0.61
0.58,0.7,0.75,0.68,0.62
0.58,0.7,0.75,0.68,0.63
0.59,0.72,0.75,0.7,0.63
0.59,0.72,0.75,0.69,0.64
0.59,0.72,0.75,0.69,0.64
0.6,0.73,0.77,0.71,0.65
0.6,0.73,0.77,0.71,0.65
0.59,0.72,0.75,0.71,0.65
0.6,0.73,0.75,0.71,0.65
0.59,0.72,0.75,0.7,0.65
0.58,0.7,0.73,0.69,0.65
0.58,0.7,0.73,0.69,0.65
0.59,0.72,0.75,0.7,0.65
0.6,0.73,0.75,0.71,0.65
0.59,0.72,0.73,0.7,0.65
0.59,0.72,0.73,0.7,0.65
0.58,0.7,0.72,0.69,0.65
0.57,0.68,0.7,0.67,0.64
0.58,0.7,0.72,0.69,0.64
0.58,0.7,0.72,0.69,0.65
0.58,0.7,0.72,0.7,0.65
0.59,0.72,0.74,0.71,0.66
0.59,0.72,0.74,0.71,0.66
0.6,0.73,0.75,0.73,0.66
0.61,0.75,0.77,0.74,0.67
0.6,0.73,0.75,0.73,0.67
0.59,0.72,0.73,0.71,0.67
0.59,0.72,0.74,0.72,0.67
0.59,0.72,0.74,0.72,0.68
0.58,0.7,0.73,0.71,0.69
0.57,0.68,0.72,0.7,0.69
0.56,0.67,0.71,0.69,0.69
0.57,0.68,0.72,0.7,0.69
0.56,0.67,0.71,0.69,0.7
0.57,0.68,0.73,0.71,0.7
