baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.5,0.52,0.52,0.52,0.5
0.5,0.52,0.52,0.52,0.5
0.5,0.54,0.54,0.54,0.5
0.5,0.52,0.52,0.52,0.5
0.5,0.52,0.52,0.53,0.5
0.5,0.54,0.54,0.54,0.5
0.5,0.52,0.52,0.52,0.5
0.5,0.52,0.52,0.52,0.5
0.49,0.5,0.5,0.51,0.5
0.49,0.5,0.5,0.51,0.49
0.48,0.48,0.48,0.5,0.48
0.49,0.5,0.5,0.52,0.48
0.48,0.48,0.48,0.5,0.47
0.47,0.46,0.46,0.49,0.46
0.47,0.46,0.46,0.48,0.45
0.47,0.46,0.46,0.48,0.45
0.46,0.45,0.45,0.46,0.44
0.46,0.45,0.45,0.46,0.44
0.46,0.45,0.45,0.46,0.43
0.46,0.45,0.45,0.46,0.42
0.45,0.43,0.43,0.45,0.41
0.44,0.41,0.41,0.43,0.4
0.44,0.41,0.41,0.43,0.4
0.44,0.41,0.41,0.43,0.4
0.44,0.41,0.41,0.43,0.4
0.44,0.41,0.41,0.43,0.39
0.44,0.41,0.42,0.43,0.39
0.43,0.39,0.4,0.41,0.38
0.42,0.37,0.39,0.4,0.37
0.43,0.39,0.4,0.41,0.38
0.43,0.39,0.4,0.41,0.38
0.43,0.39,0.4,0.41,0.38
0.43,0.39,0.4,0.41,0.38
0.44,0.41,0.42,0.42,0.38
0.44,0.41,0.42,0.43,0.38
0.45,0.43,0.44,0.44,0.39
0.45,0.43,0.44,0.44,0.39
0.44,0.41,0.42,0.43,0.38
0.45,0.43,0.44,0.44,0.38
0.45,0.43,0.44,0.44,0.38
0.44,0.41,0.42,0.43,0.37
0.43,0.39,0.4,0.41,0.36
0.43,0.39,0.4,0.41,0.36
0.42,0.37,0.39,0.4,0.35
0.42,0.37,0.39,0.4,0.35
0.42,0.37,0.39,0.4,0.35
0.43,0.39,0.4,0.4,0.36
0.42,0.37,0.39,0.39,0.35
0.42,0.37,0.39,0.39,0.35
0.41,0.36,0.37,0.38,0.34
0.41,0.36,0.37,0.38,0.34
0.4,0.34,0.35,0.36,0.33
0.4,0.34,0.35,0.36,0.33
0.4,0.34,0.35,0.36,0.33
0.41,0.36,0.37,0.37,0.34
0.41,0.36,0.37,0.37,0.34
0.4,0.34,0.35,0.36,0.33
0.4,0.34,0.35,0.36,0.33
0.4,0.34,0.35,0.36,0.33
0.41,0.36,0.37,0.37,0.33
0.42,0.37,0.39,0.39,0.34
0.42,0.37,0.39,0.39,0.34
0.42,0.37,0.39,0.39,0.34
0.42,0.37,0.39,0.39,0.34
0.42,0.37,0.39,0.39,0.34
0.42,0.37,0.39,0.39,0.34
0.41,0.36,0.36,0.37,0.33
0.4,0.34,0.34,0.37,0.32
0.39,0.32,0.33,0.35,0.31
0.39,0.32,0.33,0.35,0.31
0.4,0.34,0.34,0.37,0.32
0.39,0.32,0.33,0.35,0.32
0.4,0.34,0.34,0.37,0.32
0.4,0.34,0.35,0.37,0.33
0.39,0.32,0.33,0.36,0.32
0.4,0.34,0.35,0.37,0.33
0.39,0.32,0.33,0.35,0.32
0.39,0.32,0.34,0.36,0.32
0.39,0.32,0.34,0.36,0.32
0.39,0.32,0.34,0.36,0.32
0.38,0.3,0.34,0.35,0.31
0.39,0.32,0.36,0.36,0.31
0.39,0.32,0.36,0.35,0.31
0.39,0.32,0.34,0.35,0.31
0.4,0.34,0.37,0.37,0.32
0.4,0.34,0.37,0.39,0.32
0.4,0.34,0.36,0.39,0.32
0.4,0.34,0.36,0.38,0.32
0.39,0.32,0.34,0.36,0.31
0.38,0.3,0.32,0.34,0.31
0.39,0.32,0.34,0.36,0.31
0.39,0.32,0.34,0.35,0.31
0.4,0.34,0.36,0.37,0.32
0.39,0.32,0.32,0.35,0.31
0.39,0.32,0.33,0.35,0.31
0.38,0.3,0.31,0.33,0.3
0.39,0.32,0.32,0.34,0.31
0.39,0.32,0.34,0.35,0.31
0.39,0.32,0.33,0.33,0.3
0.4,0.34,0.34,0.34,0.3
0.41,0.36,0.37,0.36,0.31
0.41,0.36,0.37,0.36,0.31
0.42,0.37,0.39,0.38,0.32
0.42,0.37,0.39,0.38,0.32
0.42,0.37,0.38,0.38,0.32
0.42,0.37,0.37,0.37,0.32
0.42,0.37,0.37,0.36,0.31
0.43,0.39,0.38,0.38,0.32
0.43,0.39,0.37,0.38,0.31
0.44,0.41,0.39,0.4,0.32
0.43,0.39,0.38,0.39,0.32
0.43,0.39,0.37,0.38,0.33
0.42,0.37,0.34,0.37,0.33
0.43,0.39,0.36,0.38,0.34
0.43,0.39,0.37,0.38,0.34
0.43,0.39,0.37,0.39,0.34
0.43,0.39,0.37,0.39,0.34
0.43,0.39,0.37,0.38,0.34
0.43,0.39,0.37,0.37,0.34
0.43,0.39,0.37,0.38,0.35
0.42,0.37,0.36,0.37,0.35
0.42,0.37,0.34,0.36,0.35
0.42,0.37,0.34,0.36,0.35
0.43,0.39,0.36,0.38,0.36
0.43,0.39,0.37,0.38,0.37
0.42,0.37,0.35,0.37,0.36
0.42,0.37,0.36,0.37,0.37
0.43,0.39,0.38,0.39,0.38
0.43,0.39,0.39,0.39,0.38
0.43,0.39,0.39,0.39,0.38
0.42,0.37,0.37,0.38,0.37
0.42,0.37,0.37,0.37,0.37
0.41,0.36,0.36,0.36,0.36
0.41,0.36,0.36,0.36,0.36
0.41,0.36,0.35,0.36,0.37
0.41,0.36,0.35,0.36,0.37
0.4,0.34,0.34,0.34,0.36
0.4,0.34,0.34,0.34,0.36
0.4,0.34,0.34,0.34,0.36
0.39,0.32,0.33,0.32,0.37
0.4,0.34,0.34,0.33,0.37
0.4,0.34,0.34,0.33,0.37
0.4,0.34,0.34,0.33,0.37
0.4,0.34,0.34,0.33,0.37
0.4,0.34,0.34,0.33,0.37
0.4,0.34,0.33,0.32,0.36
0.41,0.36,0.34,0.33,0.37
0.4,0.34,0.34,0.32,0.36
0.41,0.36,0.34,0.33,0.36
0.41,0.36,0.35,0.34,0.37
0.42,0.37,0.36,0.34,0.38
0.42,0.37,0.36,0.35,0.37
0.42,0.37,0.35,0.35,0.37
0.42,0.37,0.36,0.35,0.37
0.42,0.37,0.34,0.34,0.37
0.41,0.36,0.34,0.33,0.36
0.41,0.36,0.34,0.33,0.36
0.41,0.36,0.34,0.34,0.36
0.42,0.37,0.36,0.35,0.37
0.43,0.39,0.37,0.37,0.38
0.43,0.39,0.37,0.37,0.39
0.43,0.39,0.37,0.37,0.38
0.44,0.41,0.4,0.39,0.38
0.45,0.43,0.4,0.4,0.38
0.44,0.41,0.39,0.39,0.37
0.43,0.39,0.38,0.38,0.36
0.43,0.39,0.37,0.37,0.35
0.44,0.41,0.38,0.38,0.36
0.45,0.43,0.39,0.39,0.36
0.45,0.43,0.39,0.39,0.36
0.46,0.45,0.4,0.41,0.36
0.45,0.43,0.39,0.39,0.36
0.46,0.45,0.4,0.41,0.36
0.45,0.43,0.39,0.4,0.36
0.46,0.45,0.4,0.41,0.35
0.47,0.46,0.41,0.43,0.36
0.46,0.45,0.4,0.42,0.35
0.46,0.45,0.4,0.42,0.35
0.46,0.45,0.39,0.42,0.35
0.46,0.45,0.39,0.42,0.35
0.47,0.46,0.42,0.43,0.36
0.47,0.46,0.41,0.43,0.36
0.47,0.46,0.43,0.44,0.37
0.47,0.46,0.42,0.44,0.37
0.48,0.48,0.45,0.46,0.37
0.47,0.46,0.42,0.43,0.37
0.46,0.45,0.41,0.42,0.36
0.45,0.43,0.38,0.4,0.35
0.45,0.43,0.39,0.41,0.35
0.45,0.43,0.4,0.41,0.36
0.45,0.43,0.4,0.41,0.35
0.44,0.41,0.38,0.4,0.35
0.43,0.39,0.36,0.38,0.34
0.43,0.39,0.36,0.39,0.33
0.43,0.39,0.36,0.39,0.33
0.43,0.39,0.36,0.39,0.33
0.44,0.41,0.39,0.41,0.34
0.43,0.39,0.38,0.4,0.33
0.43,0.39,0.38,0.4,0.33
0.42,0.37,0.37,0.39,0.33
0.41,0.36,0.36,0.38,0.33
0.4,0.34,0.34,0.37,0.32
0.41,0.36,0.36,0.38,0.32
0.4,0.34,0.34,0.36,0.32
0.4,0.34,0.34,0.35,0.32
0.4,0.34,0.34,0.36,0.33
0.4,0.34,0.34,0.35,0.33
0.4,0.34,0.35,0.36,0.33
0.4,0.34,0.34,0.35,0.33
0.41,0.36,0.36,0.36,0.33
0.4,0.34,0.34,0.34,0.32
0.41,0.36,0.35,0.36,0.33
0.41,0.36,0.35,0.36,0.32
0.41,0.36,0.35,0.36,0.32
0.4,0.34,0.34,0.34,0.31
0.4,0.34,0.34,0.34,0.31
0.39,0.32,0.33,0.33,0.31
0.38,0.3,0.32,0.32,0.3
0.38,0.3,0.32,0.32,0.3
0.38,0.3,0.32,0.32,0.3
0.37,0.28,0.3,0.3,0.29
0.37,0.28,0.3,0.3,0.29
0.38,0.3,0.32,0.33,0.3
0.38,0.3,0.32,0.33,0.3
0.37,0.28,0.31,0.31,0.29
0.37,0.28,0.3,0.31,0.29
0.37,0.28,0.31,0.32,0.3
0.37,0.28,0.31,0.3,0.3
0.36,0.27,0.28,0.29,0.29
0.36,0.27,0.28,0.28,0.29
